Search keyword
11 May 2026 - 17 May 2026
Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Avg. CPM
ellenbrook gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,30,178,16.85%,2.47,74.03,67.12%,83.56%,5.00,0,14.81,16.67%,415.92
gym near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,29,219,13.24%,2.44,70.62,44.83%,86.21%,0.00,0,0,0.00%,322.48
gyms in ellenbrook,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,16,137,11.68%,2.33,37.36,68.42%,89.47%,3.00,0,12.45,18.75%,272.70
health club,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,14,126,11.11%,1.65,23.16,42.00%,76.00%,0.00,0,0,0.00%,183.77
fitness centre,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,8,141,5.67%,1.45,11.58,33.33%,57.14%,0.00,0,0,0.00%,82.14
Ellenbrook fitness centre,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,8,111,7.21%,1.85,14.81,45.65%,63.04%,0.00,0,0,0.00%,133.40
gym with kids club,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,6,13,46.15%,0.40,2.39,85.71%,100.00%,0.00,0,0,0.00%,183.98
chasing better gym ellenbrook,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,6,20,30.00%,3.55,21.27,100.00%,100.00%,0.00,0,0,0.00%,1063.62
gym aveley,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,6,21,28.57%,1.96,11.77,40.00%,80.00%,0.00,0,0,0.00%,560.33
reformer pilates ellenbrook,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,4,22,18.18%,1.60,6.41,66.67%,100.00%,0.00,0,0,0.00%,291.33
gyms ellenbrook,Eligible,,Exact match,Ellenbrook Gym,Ellenbrook,AUD,0.01,3,54,5.56%,3.37,10.11,90.00%,100.00%,0.00,0,0,0.00%,187.22
24 hour gym,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,2,29,6.90%,0.07,0.14,28.57%,78.57%,0.00,0,0,0.00%,4.83
chasing better ellenbrook,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,2,13,15.38%,2.64,5.28,85.71%,85.71%,0.00,0,0,0.00%,405.85
gym with creche near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,1,5,20.00%,0.58,0.58,66.67%,100.00%,0.00,0,0,0.00%,116.36
aveley gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,1,11,9.09%,3.25,3.25,57.14%,85.71%,0.00,0,0,0.00%,295.45
Henley Brook Gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,1,12,8.33%,2.88,2.88,0.00%,50.00%,0.00,0,0,0.00%,240.00
24 hour fitness,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
best gym,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,5,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
24 hour gym near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,3,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
24 hour fitness near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym with sauna near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,1,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
gym with ice bath,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
fitness classes Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
group fitness Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
24/7 gym Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
personal trainer Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym brabham,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
swan valley gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,6,0.00%,0,0.00,20.00%,20.00%,0.00,0,0,0,0.00
Brabham Gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym Henley Brook,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,2,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0,0.00
