Search keyword
20 April 2026 - 26 April 2026
Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Avg. CPM
gym near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,27,282,9.57%,2.16,58.23,52.38%,96.83%,0.00,0,0,0.00%,206.48
ellenbrook gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,24,160,15.00%,2.23,53.56,67.16%,86.57%,0.00,0,0,0.00%,334.77
Ellenbrook fitness centre,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,21,148,14.19%,2.65,55.56,74.14%,89.66%,1.90,0,29.27,9.04%,375.44
gyms in ellenbrook,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,15,113,13.27%,1.56,23.37,51.22%,80.49%,0.00,0,0,0.00%,206.85
health club,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,11,110,10.00%,2.20,24.23,41.18%,82.35%,2.26,0,10.71,20.56%,220.24
fitness centre,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,7,136,5.15%,1.31,9.15,46.15%,92.31%,3.00,2,3.05,42.86%,67.28
best gym,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,3,7,42.86%,2.02,6.05,66.67%,66.67%,0.00,0,0,0.00%,864.55
chasing better gym ellenbrook,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,3,20,15.00%,1.90,5.70,100.00%,100.00%,0.00,0,0,0.00%,285.00
reformer pilates ellenbrook,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,2,9,22.22%,1.02,2.03,20.00%,80.00%,0.00,0,0,0.00%,225.56
gym aveley,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,2,10,20.00%,7.13,14.27,85.71%,85.71%,0.00,0,0,0.00%,1426.99
swan valley gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,2,35,5.71%,0.72,1.44,63.64%,81.82%,0.00,0,0,0.00%,41.14
24 hour gym,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,1,19,5.26%,1.15,1.15,37.50%,75.00%,0.00,0,0,0.00%,60.53
chasing better ellenbrook,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,1,16,6.25%,0.80,0.80,85.71%,85.71%,0.00,0,0,0.00%,50.00
gyms ellenbrook,Eligible,,Exact match,Ellenbrook Gym,Ellenbrook,AUD,0.01,1,50,2.00%,2.47,2.47,75.00%,87.50%,4.00,0,0.62,400.00%,49.40
aveley gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,1,12,8.33%,2.96,2.96,33.33%,100.00%,0.00,0,0,0.00%,246.67
24 hour fitness,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
24 hour gym near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,3,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
24 hour fitness near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym with sauna near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym with kids club,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym with creche near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,8,0.00%,0,0.00,75.00%,100.00%,0.00,0,0,0,0.00
gym with ice bath,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,2,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
fitness classes Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
group fitness Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
24/7 gym Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
personal trainer Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym brabham,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
Brabham Gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym Henley Brook,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,6,0.00%,0,0.00,50.00%,100.00%,0.00,0,0,0,0.00
Henley Brook Gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,15,0.00%,0,0.00,85.71%,100.00%,0.00,0,0,0,0.00
