Search keyword
27 April 2026 - 3 May 2026
Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Avg. CPM
ellenbrook gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,23,144,15.97%,2.59,59.53,76.32%,88.16%,4.00,0,14.88,17.39%,413.41
gym near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,15,230,6.52%,2.18,32.75,42.31%,80.77%,1.00,0,32.75,6.67%,142.38
gyms in ellenbrook,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,15,157,9.55%,2.38,35.77,71.05%,86.84%,3.00,0,11.92,20.00%,227.81
fitness centre,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,13,117,11.11%,2.09,27.15,63.64%,81.82%,0.00,0,0,0.00%,232.06
Ellenbrook fitness centre,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,13,118,11.02%,2.11,27.37,54.90%,76.47%,0.00,1,0,0.00%,231.96
health club,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,7,108,6.48%,2.37,16.57,34.48%,74.14%,0.00,0,0,0.00%,153.41
gyms ellenbrook,Eligible,,Exact match,Ellenbrook Gym,Ellenbrook,AUD,0.01,6,65,9.23%,2.39,14.35,65.22%,86.96%,0.00,0,0,0.00%,220.72
chasing better gym ellenbrook,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,4,14,28.57%,2.10,8.40,85.71%,100.00%,1.00,0,8.40,25.00%,599.92
24 hour gym,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,3,20,15.00%,3.45,10.34,62.50%,87.50%,0.00,0,0,0.00%,517.00
chasing better ellenbrook,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,3,8,37.50%,1.68,5.04,83.33%,83.33%,0.00,0,0,0.00%,630.00
aveley gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,3,13,23.08%,3.91,11.73,62.50%,87.50%,0.00,0,0,0.00%,902.31
24 hour fitness near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,1,2,50.00%,0.74,0.74,0,0,0.00,0,0,0.00%,370.00
gym with sauna near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,1,6,16.67%,3.81,3.81,66.67%,100.00%,0.00,0,0,0.00%,635.73
gym with kids club,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,1,13,7.69%,0.02,0.02,66.67%,66.67%,0.00,0,0,0.00%,1.54
gym with creche near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,1,10,10.00%,1.43,1.43,40.00%,80.00%,0.00,0,0,0.00%,143.00
swan valley gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,1,16,6.25%,1.85,1.85,50.00%,83.33%,0.00,0,0,0.00%,115.94
24 hour fitness,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
best gym,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,6,0.00%,0,0.00,0.00%,66.67%,0.00,0,0,0,0.00
24 hour gym near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,3,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
reformer pilates ellenbrook,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,0,3,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
gym with ice bath,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,5,0.00%,0,0.00,33.33%,33.33%,0.00,0,0,0,0.00
fitness classes Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
group fitness Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
24/7 gym Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
personal trainer Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym aveley,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,11,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
gym brabham,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
Brabham Gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym Henley Brook,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,1,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
Henley Brook Gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,3,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
