Search keyword
11 May 2026 - 17 May 2026
Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Avg. CPM
gym,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,22,456,4.82%,2.02,44.42,25.00%,69.92%,0.00,0,0,0.00%,97.41
gyms near me,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,16,165,9.70%,1.43,22.88,21.67%,83.33%,0.00,0,0,0.00%,138.67
gym near me,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,15,340,4.41%,1.17,17.57,29.73%,89.19%,3.00,0,5.86,20.00%,51.67
health club,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,14,126,11.11%,1.56,21.86,39.66%,74.14%,0.00,0,0,0.00%,173.49
gym near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,12,128,9.38%,1.60,19.23,26.00%,88.00%,0.00,0,0,0.00%,150.20
gym malaga,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,9,78,11.54%,5.43,48.86,57.58%,72.73%,0.00,0,0,0.00%,626.44
fitness centre,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,9,169,5.33%,0.86,7.74,43.24%,83.78%,1.00,0,7.74,11.11%,45.78
malaga gym,Eligible,,Exact match,Malaga Gym,Malaga Gym,AUD,0.01,8,68,11.76%,3.47,27.77,83.87%,93.55%,0.00,0,0,0.00%,408.34
malaga fitness,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,6,42,14.29%,1.11,6.68,65.22%,69.57%,2.00,0,3.34,33.33%,159.05
morley gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,6,127,4.72%,2.98,17.86,34.48%,81.03%,0.00,0,0,0.00%,140.67
