Search keyword
20 April 2026 - 26 April 2026
Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Avg. CPM
gym,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,32,351,9.12%,1.63,52.24,15.95%,79.31%,6.00,0,8.71,18.75%,148.84
gym near me,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,18,297,6.06%,1.69,30.38,10.34%,77.01%,0.00,0,0,0.00%,102.30
fitness centre,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,15,237,6.33%,0.89,13.37,24.14%,86.21%,0.00,0,0,0.00%,56.40
health club,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,13,108,12.04%,0.84,10.87,29.41%,76.47%,0.00,0,0,0.00%,100.63
gyms near me,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,13,133,9.77%,2.17,28.18,13.46%,71.15%,0.00,0,0,0.00%,211.86
malaga gym,Eligible,,Exact match,Malaga Gym,Malaga Gym,AUD,0.01,9,63,14.29%,3.38,30.43,67.74%,93.55%,7.02,0,4.34,77.98%,483.01
morley gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,8,106,7.55%,1.85,14.82,21.43%,91.07%,0.00,0,0,0.00%,139.79
gym in malaga,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,8,39,20.51%,1.85,14.78,76.92%,84.62%,3.05,0,4.85,38.07%,378.92
gym malaga,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,7,57,12.28%,3.47,24.31,65.38%,88.46%,0.00,0,0,0.00%,426.48
malaga gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,7,44,15.91%,1.31,9.17,63.64%,86.36%,0.00,0,0,0.00%,208.37
gym near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,7,96,7.29%,1.05,7.36,18.87%,77.36%,0.00,0,0,0.00%,76.68
malaga fitness,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,6,48,12.50%,1.54,9.22,58.33%,87.50%,0.00,0,0,0.00%,192.02
gym with sauna perth,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,6,31,19.35%,1.65,9.92,0.00%,80.95%,0.00,0,0,0.00%,319.85
mirrabooka gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,5,32,15.63%,2.14,10.68,29.41%,88.24%,0.00,0,0,0.00%,333.85
gyms malaga,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,4,11,36.36%,2.03,8.14,100.00%,100.00%,3.00,0,2.71,75.00%,739.55
24 hour gym,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,4,36,11.11%,1.14,4.56,27.78%,72.22%,0.00,0,0,0.00%,126.64
landsdale gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,3,25,12.00%,1.08,3.24,40.00%,86.67%,0.00,0,0,0.00%,129.60
chasing better malaga,Eligible,,Exact match,Malaga Gym,Malaga Gym,AUD,0.01,3,8,37.50%,4.35,13.06,100.00%,100.00%,0.00,0,0,0.00%,1632.50
gym with sauna near me,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,3,29,10.34%,1.37,4.11,15.79%,94.74%,0.00,0,0,0.00%,141.84
gym with reformer pilates near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,3,6,50.00%,1.14,3.42,0.00%,75.00%,0.00,0,0,0.00%,570.00
ballajura gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,2,12,16.67%,1.70,3.40,83.33%,83.33%,3.00,0,1.13,150.00%,283.33
dianella gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,2,31,6.45%,0.83,1.65,17.65%,70.59%,0.00,0,0,0.00%,53.23
gym with creche,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,2,24,8.33%,1.84,3.68,21.43%,78.57%,0.00,0,0,0.00%,153.33
Deep tissue massage near me,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,2,33,6.06%,2.07,4.13,23.53%,100.00%,0.00,0,0,0.00%,125.15
gyms malaga,Eligible,,Exact match,Malaga Gym,Malaga Gym,AUD,0.01,1,18,5.56%,3.31,3.31,71.43%,100.00%,0.03,0,126.29,2.62%,183.89
best gym in malaga,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,1,11,9.09%,2.48,2.48,80.00%,100.00%,0.00,0,0,0.00%,225.32
noranda gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,1,11,9.09%,2.07,2.07,25.00%,87.50%,0.00,0,0,0.00%,188.18
nearest fitness,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,1,15,6.67%,2.89,2.89,50.00%,75.00%,0.00,0,0,0.00%,192.67
gym with creche near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,1,2,50.00%,0.52,0.52,0,0,0.00,0,0,0.00%,260.00
gym with sauna and ice bath,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,1,5,20.00%,1.36,1.36,0.00%,40.00%,0.00,0,0,0.00%,272.98
Hot stone massage near me,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,1,10,10.00%,3.94,3.94,42.86%,85.71%,0.00,0,0,0.00%,394.00
Malaga massage,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,1,22,4.55%,1.02,1.02,22.22%,22.22%,0.00,0,0,0.00%,46.56
belmont gym,Paused,paused; low quality,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ellenbrook gym,Paused,paused,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym malaga,Paused,paused,Exact match,Malaga Gym,Malaga Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
new malaga gym,Paused,paused; unknown,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
beechboro gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,23,0.00%,0,0.00,75.00%,100.00%,0.00,0,0,0,0.00
new gym mirrabooka,Not eligible,rarely served,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gyms in malaga wa,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,11,0.00%,0,0.00,57.14%,57.14%,0.00,0,0,0,0.00
24 hour fitness,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,3,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
best gym,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,7,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
24 hour fitness near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
best fitness,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym with childcare near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
fifo gym membership,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,0,8,0.00%,0,0.00,16.67%,83.33%,0.00,0,0,0,0.00
24 hour gym malaga,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
fifo gym membership perth,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym with ice bath near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
pilates and gym near me,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,0,18,0.00%,0,0.00,33.33%,83.33%,0.00,0,0,0,0.00
fifo gym membership perth,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
reformer pilates malaga,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,3,0.00%,0,0.00,50.00%,100.00%,0.00,0,0,0,0.00
no lock in gym malaga,Not eligible,rarely served,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
remedial massage Malaga,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
sports massage Malaga,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
Balinese massage near me,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
Foot reflexology near me,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,13,0.00%,0,0.00,20.00%,90.00%,0.00,0,0,0,0.00
Ear candling near me,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
Malaga Bali massage,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
massage Malaga WA,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,2,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0,0.00
massage near Malaga,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,9,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0,0.00
relaxation massage Malaga,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,6,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
Deep tissue massage Malaga,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
Hot stone massage Malaga,Not eligible,rarely served,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
