Search keyword
27 April 2026 - 3 May 2026
Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Avg. CPM
gym,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,29,349,8.31%,1.40,40.60,23.45%,71.24%,0.00,0,0,0.00%,116.32
morley gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,17,123,13.82%,1.69,28.76,27.87%,86.89%,0.00,0,0,0.00%,233.83
malaga gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,17,46,36.96%,1.50,25.51,68.97%,89.66%,2.50,0,10.20,14.71%,554.46
fitness centre,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,17,194,8.76%,1.19,20.15,34.88%,90.70%,3.41,0,5.91,20.05%,103.84
gym malaga,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,12,69,17.39%,2.17,26.04,60.53%,89.47%,6.00,0,4.34,50.00%,377.38
health club,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,10,86,11.63%,1.92,19.24,37.50%,77.50%,0.00,0,0,0.00%,223.71
gym in malaga,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,8,28,28.57%,2.49,19.89,90.00%,100.00%,0.00,0,0,0.00%,710.36
gym near me,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,8,318,2.52%,1.14,9.15,18.48%,75.00%,0.00,0,0,0.00%,28.77
gym with sauna near me,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,8,71,11.27%,1.11,8.87,26.32%,89.47%,0.00,0,0,0.00%,124.93
malaga fitness,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,7,46,15.22%,1.78,12.45,34.78%,78.26%,1.00,0,12.45,14.29%,270.57
malaga gym,Eligible,,Exact match,Malaga Gym,Malaga Gym,AUD,0.01,7,60,11.67%,2.72,19.02,79.31%,96.55%,2.00,0,9.51,28.57%,317.00
gym with sauna perth,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,6,25,24.00%,1.24,7.45,16.67%,83.33%,2.50,0,2.98,41.67%,297.87
gyms near me,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,5,139,3.60%,2.11,10.54,7.27%,74.55%,0.00,0,0,0.00%,75.80
dianella gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,4,35,11.43%,2.12,8.48,25.00%,80.00%,0.00,0,0,0.00%,242.29
landsdale gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,4,18,22.22%,1.70,6.78,63.64%,81.82%,0.00,0,0,0.00%,376.67
gym with sauna and ice bath,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,4,29,13.79%,1.06,4.26,13.33%,73.33%,0.00,0,0,0.00%,146.75
gyms malaga,Eligible,,Exact match,Malaga Gym,Malaga Gym,AUD,0.01,3,18,16.67%,2.02,6.07,85.71%,100.00%,0.00,0,0,0.00%,337.22
gym near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,3,98,3.06%,1.40,4.20,11.32%,79.25%,0.00,0,0,0.00%,42.83
gym with creche,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,3,14,21.43%,2.02,6.05,66.67%,88.89%,0.00,0,0,0.00%,432.37
gym with reformer pilates near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,2,7,28.57%,1.24,2.49,0.00%,71.43%,0.00,0,0,0.00%,355.07
Malaga massage,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,2,25,8.00%,1.40,2.80,57.14%,64.29%,0.00,0,0,0.00%,112.00
ballajura gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,1,7,14.29%,0.35,0.35,33.33%,100.00%,0.00,0,0,0.00%,49.58
chasing better malaga,Eligible,,Exact match,Malaga Gym,Malaga Gym,AUD,0.01,1,2,50.00%,2.14,2.14,100.00%,100.00%,0.00,0,0,0.00%,1070.00
gyms in malaga wa,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,1,12,8.33%,1.31,1.31,50.00%,100.00%,0.00,0,0,0.00%,109.17
24 hour gym,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,1,35,2.86%,1.61,1.61,30.77%,76.92%,0.00,0,0,0.00%,46.00
gym with creche near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,1,5,20.00%,4.73,4.73,75.00%,100.00%,0.00,0,0,0.00%,946.00
pilates and gym near me,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,1,22,4.55%,1.02,1.02,0.00%,85.71%,0.00,0,0,0.00%,46.36
reformer pilates malaga,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,1,10,10.00%,1.42,1.42,100.00%,100.00%,0.00,0,0,0.00%,142.00
belmont gym,Paused,paused; low quality,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ellenbrook gym,Paused,paused,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym malaga,Paused,paused,Exact match,Malaga Gym,Malaga Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
mirrabooka gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,33,0.00%,0,0.00,15.00%,80.00%,0.00,0,0,0,0.00
gyms malaga,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,6,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
best gym in malaga,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,5,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
new malaga gym,Paused,paused; unknown,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
beechboro gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,8,0.00%,0,0.00,28.57%,57.14%,0.00,0,0,0,0.00
noranda gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,15,0.00%,0,0.00,20.00%,80.00%,0.00,0,0,0,0.00
new gym mirrabooka,Not eligible,rarely served,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
24 hour fitness,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,2,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
best gym,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,8,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
24 hour fitness near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
best fitness,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
nearest fitness,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,20,0.00%,0,0.00,22.22%,77.78%,0.00,0,0,0,0.00
gym with childcare near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
fifo gym membership,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,0,2,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
24 hour gym malaga,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
fifo gym membership perth,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,0,2,0.00%,0,0.00,0.00%,50.00%,0.00,0,0,0,0.00
gym with ice bath near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
fifo gym membership perth,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
no lock in gym malaga,Not eligible,rarely served,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
Deep tissue massage near me,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,12,0.00%,0,0.00,12.50%,87.50%,0.00,0,0,0,0.00
remedial massage Malaga,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,7,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
sports massage Malaga,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,4,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
Hot stone massage near me,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,2,0.00%,0,0.00,50.00%,100.00%,0.00,0,0,0,0.00
Balinese massage near me,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,2,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
Foot reflexology near me,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,7,0.00%,0,0.00,25.00%,75.00%,0.00,0,0,0,0.00
Ear candling near me,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
