"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (AUD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (AUD)","Link clicks",shop_clicks,"CPC (cost per link click) (AUD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (AUD)","Landing page views","Cost per landing page view (AUD)"
2026-05-25,2026-05-31,"24/7 Access (2)",active,"7-day click or 1-day view",91,actions:link_click,3235,1.31592,0.29758242,20,Daily,27.08,Ongoing,Average,Average,"Above average",4257,6.361287,91,,0.297582,2.137656,199,4.674654,0.13608,55,0.492364
2026-05-25,2026-05-31,"Push the Tempo (2)",active,"7-day click or 1-day view",364,actions:link_click,9495,1.252554,0.30667582,20,Daily,111.63,Ongoing,Average,Average,Average,11893,9.386194,364,,0.306676,3.060624,527,4.431178,0.211822,166,0.67247
2026-05-25,2026-05-31,"CB Fly (2)",active,"7-day click or 1-day view",6,actions:link_click,254,1.019685,0.3,20,Daily,1.8,Ongoing,-,-,-,259,6.949807,6,,0.3,2.316602,7,2.702703,0.257143,1,1.8
2026-05-25,2026-05-31,"Instagram post: Ready to shake off the Easter...",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-01,-,-,-,0,0,,,,,0,0,0,,
2026-05-25,2026-05-31,"Promoting website: https://www.chasingbetter247.com.au/",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-01,-,-,-,0,0,,,,,0,0,0,,
2026-05-25,2026-05-31,"IG: Better workouts, better guidance... 4/30 -5/7",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-07,-,-,-,0,0,,,,,0,0,0,,
2026-05-25,2026-05-31,"FB: Better workouts, better guidance... 4/30 -5/7",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-07,-,-,-,0,0,,,,,0,0,0,,
2026-05-25,2026-05-31,"Instagram post: Deep heat. Deep recovery.

Hot...",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-14,-,-,-,0,0,,,,,0,0,0,,
2026-05-25,2026-05-31,"Post: ""Deep heat. Deep recovery.""",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-14,-,-,-,0,0,,,,,0,0,0,,
2026-05-25,2026-05-31,"Instagram post: This May, we're giving you the...",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-21,-,-,-,0,0,,,,,0,0,0,,
2026-05-25,2026-05-31,"Post: ""This May, we're giving you the perfect excuse to...""",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-21,-,-,-,0,0,,,,,0,0,0,,
2026-05-25,2026-05-31,"Instagram post: The difference between guessing...",not_delivering,"7-day click or 1-day view",78,actions:link_click,2242,1.245763,0.44128205,"Using campaign budget",0,34.42,2026-05-28,Average,"Above average",Average,2793,12.323666,78,,0.441282,2.792696,88,3.150734,0.391136,53,0.649434
2026-05-25,2026-05-31,"Promoting website: https://www.chasingbetter247.com.au/",not_delivering,"7-day click or 1-day view",67,actions:omni_landing_page_view,2861,1.292905,0.34746269,"Using campaign budget",0,23.28,2026-05-28,Average,"Above average","Above average",3699,6.293593,84,,0.277143,2.270884,137,3.703704,0.169927,67,0.347463
2026-05-25,2026-05-31,"Post: ""Better together. ❤️‍🔥""",active,"7-day click or 1-day view",110,actions:post_engagement,892,1.523543,0.30145455,"Using campaign budget",0,33.16,2026-06-04,Average,Average,Average,1359,24.400294,,,,,24,1.766004,1.381667,,
2026-05-25,2026-05-31,"Instagram post: Better together. ❤️‍🔥

Got a mate...",active,"7-day click or 1-day view",151,profile_visit_view,3652,1.541347,0.32245033,"Using campaign budget",0,48.69,2026-06-04,Average,-,-,5629,8.649849,94,,0.517979,1.669924,93,1.652158,0.523548,,
