"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (AUD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (AUD)","Link clicks",shop_clicks,"CPC (cost per link click) (AUD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (AUD)","Landing page views","Cost per landing page view (AUD)"
2026-05-18,2026-05-24,"24/7 Access (2)",active,"7-day click or 1-day view",26,actions:link_click,661,1.16944,0.20538462,20,Daily,5.34,Ongoing,Average,Average,"Above average",773,6.90815,26,,0.205385,3.363519,52,6.727038,0.102692,12,0.445
2026-05-18,2026-05-24,"Push the Tempo (2)",active,"7-day click or 1-day view",437,actions:link_click,11122,1.325571,0.30359268,20,Daily,132.67,Ongoing,Average,Average,Average,14743,8.998847,437,,0.303593,2.964119,620,4.205386,0.213984,195,0.680359
2026-05-18,2026-05-24,"CB Fly (2)",active,"7-day click or 1-day view",4,actions:link_click,158,1.044304,0.4975,20,Daily,1.99,Ongoing,-,-,-,165,12.060606,4,,0.4975,2.424242,7,4.242424,0.284286,,
2026-05-18,2026-05-24,"FB: Back in Motion Reel 4/15 - 4/22",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-04-22,-,-,-,0,0,,,,,0,0,0,,
2026-05-18,2026-05-24,"Instagram post: Ready to shake off the Easter...",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-04-22,-,-,-,0,0,,,,,0,0,0,,
2026-05-18,2026-05-24,"Instagram post: Ready to shake off the Easter...",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-01,-,-,-,0,0,,,,,0,0,0,,
2026-05-18,2026-05-24,"Promoting website: https://www.chasingbetter247.com.au/",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-01,-,-,-,0,0,,,,,0,0,0,,
2026-05-18,2026-05-24,"IG: Better workouts, better guidance... 4/30 -5/7",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-07,-,-,-,0,0,,,,,0,0,0,,
2026-05-18,2026-05-24,"FB: Better workouts, better guidance... 4/30 -5/7",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-07,-,-,-,0,0,,,,,0,0,0,,
2026-05-18,2026-05-24,"Instagram post: Deep heat. Deep recovery.

Hot...",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-14,-,-,-,0,0,,,,,0,0,0,,
2026-05-18,2026-05-24,"Post: ""Deep heat. Deep recovery.""",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-14,-,-,-,0,0,,,,,0,0,0,,
2026-05-18,2026-05-24,"Instagram post: This May, we're giving you the...",not_delivering,"7-day click or 1-day view",112,profile_visit_view,2085,1.433573,0.31107143,"Using campaign budget",0,34.84,2026-05-21,Average,-,-,2989,11.656072,72,,0.483889,2.408832,71,2.375376,0.490704,1,34.84
2026-05-18,2026-05-24,"Post: ""This May, we're giving you the perfect excuse to...""",not_delivering,"7-day click or 1-day view",7,actions:onsite_conversion.messaging_conversation_started_7d,378,4.161376,3.55285714,"Using campaign budget",0,24.87,2026-05-21,Average,Average,"Below average – bottom 35% of ads",1573,15.810553,6,,4.145,0.381437,16,1.017165,1.554375,,
2026-05-18,2026-05-24,"Instagram post: The difference between guessing...",active,"7-day click or 1-day view",105,actions:link_click,3581,1.474169,0.47133333,"Using campaign budget",0,49.49,2026-05-28,Average,"Above average",Average,5279,9.374882,105,,0.471333,1.989013,142,2.689903,0.348521,74,0.668784
2026-05-18,2026-05-24,"Promoting website: https://www.chasingbetter247.com.au/",active,"7-day click or 1-day view",120,actions:omni_landing_page_view,3011,1.624045,0.27208333,"Using campaign budget",0,32.65,2026-05-28,-,-,-,4890,6.676892,147,,0.222109,3.006135,213,4.355828,0.153286,120,0.272083
