"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting","Results (May 11, 2026-May 17, 2026)","Results (May 4, 2026-May 10, 2026)","Results Change","Results Change (%)","Result indicator","Reach (May 11, 2026-May 17, 2026)","Reach (May 4, 2026-May 10, 2026)","Reach Change","Reach Change (%)","Frequency (May 11, 2026-May 17, 2026)","Frequency (May 4, 2026-May 10, 2026)","Frequency Change","Frequency Change (%)","Cost per results (May 11, 2026-May 17, 2026)","Cost per results (May 4, 2026-May 10, 2026)","Cost per results Change","Cost per results Change (%)","Ad set budget (May 11, 2026-May 17, 2026)","Ad set budget (May 4, 2026-May 10, 2026)","Ad set budget Change","Ad set budget Change (%)","Ad set budget type","Amount spent (AUD) (May 11, 2026-May 17, 2026)","Amount spent (AUD) (May 4, 2026-May 10, 2026)","Amount spent (AUD) Change","Amount spent (AUD) Change (%)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking","Impressions (May 11, 2026-May 17, 2026)","Impressions (May 4, 2026-May 10, 2026)","Impressions Change","Impressions Change (%)","CPM (cost per 1,000 impressions) (AUD) (May 11, 2026-May 17, 2026)","CPM (cost per 1,000 impressions) (AUD) (May 4, 2026-May 10, 2026)","CPM (cost per 1,000 impressions) (AUD) Change","CPM (cost per 1,000 impressions) (AUD) Change (%)","Link clicks (May 11, 2026-May 17, 2026)","Link clicks (May 4, 2026-May 10, 2026)","Link clicks Change","Link clicks Change (%)",shop_clicks,"CPC (cost per link click) (AUD) (May 11, 2026-May 17, 2026)","CPC (cost per link click) (AUD) (May 4, 2026-May 10, 2026)","CPC (cost per link click) (AUD) Change","CPC (cost per link click) (AUD) Change (%)","CTR (link click-through rate)","Clicks (all) (May 11, 2026-May 17, 2026)","Clicks (all) (May 4, 2026-May 10, 2026)","Clicks (all) Change","Clicks (all) Change (%)","CTR (all) (May 11, 2026-May 17, 2026)","CTR (all) (May 4, 2026-May 10, 2026)","CTR (all) Change","CTR (all) Change (%)","CPC (all) (AUD) (May 11, 2026-May 17, 2026)","CPC (all) (AUD) (May 4, 2026-May 10, 2026)","CPC (all) (AUD) Change","CPC (all) (AUD) Change (%)","Landing page views (May 11, 2026-May 17, 2026)","Landing page views (May 4, 2026-May 10, 2026)","Landing page views Change","Landing page views Change (%)","Cost per landing page view (AUD) (May 11, 2026-May 17, 2026)","Cost per landing page view (AUD) (May 4, 2026-May 10, 2026)","Cost per landing page view (AUD) Change","Cost per landing page view (AUD) Change (%)"
2026-05-04,2026-05-10,"24/7 Access (2)",active,"7-day click or 1-day view",31,402,-371,-92.29,actions:link_click,1115,11281,-10166,-90.12,1.195516,1.324439,-0.13,-9.73,0.2783871,0.3279602,-0.05,-15.12,20,20,0,0,Daily,8.63,131.84,-123.21,-93.45,Ongoing,"Below average – bottom 35% of ads",Average,"Above average",1333,14941,-13608,-91.08,6.474119,8.824041,-2.35,-26.63,31,402,-371,-92.29,,0.278387,0.32796,-0.05,-15.12,2.325581,54,558,-504,-90.32,4.051013,3.73469,0.32,8.47,0.159815,0.236272,-0.08,-32.36,20,175,-155,-88.57,0.4315,0.753371,-0.32,-42.72
2026-05-04,2026-05-10,"CB Fly (2)",active,"7-day click or 1-day view",4,,4,,actions:link_click,309,,309,,1.064725,,1.06,,0.5775,,0.58,,20,"Using campaign budget",20,,Daily,2.31,,2.31,,Ongoing,-,-,-,329,,329,,7.021277,,7.02,,4,,4,,,0.5775,,0.58,,1.215805,7,,7,,2.12766,,2.13,,0.33,,0.33,,1,,1,,2.31,,2.31,
2026-05-04,2026-05-10,"FB: Back in Motion Reel 4/15 - 4/22",not_delivering,"7-day click or 1-day view",,,0,,,,,0,,,,0,,,,0,,"Using campaign budget","Using campaign budget",0,,0,,,0,,2026-04-22,-,-,-,,,0,,,,0,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,
2026-05-04,2026-05-10,"Instagram post: Ready to shake off the Easter...",not_delivering,"7-day click or 1-day view",,,0,,,,,0,,,,0,,,,0,,"Using campaign budget","Using campaign budget",0,,0,,,0,,2026-04-22,-,-,-,,,0,,,,0,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,
2026-05-04,2026-05-10,"Promoting website: https://www.chasingbetter247.com.au/",not_delivering,"7-day click or 1-day view",,73,-73,-100,actions:link_click,,2380,-2380,-100,,1.295378,-1.3,-100,,0.46890411,-0.47,-100,"Using campaign budget","Using campaign budget",0,,0,,34.23,-34.23,-100,2026-05-01,-,-,-,,3083,-3083,-100,,11.102822,-11.1,-100,,73,-73,-100,,,0.468904,-0.47,-100,,,95,-95,-100,,3.081414,-3.08,-100,,0.360316,-0.36,-100,,26,-26,-100,,1.316538,-1.32,-100
2026-05-04,2026-05-10,"FB: Better workouts, better guidance... 4/30 -5/7",not_delivering,"7-day click or 1-day view",44,134,-90,-67.16,actions:link_click,3409,5618,-2209,-39.32,1.36873,1.255073,0.11,9.06,0.53704545,0.37201493,0.17,44.36,"Using campaign budget","Using campaign budget",0,,0,23.63,49.85,-26.22,-52.6,2026-05-07,Average,"Above average","Above average",4666,7051,-2385,-33.82,5.064295,7.069919,-2.01,-28.37,51,134,-83,-61.94,,0.463333,0.372015,0.09,24.55,1.093013,77,135,-58,-42.96,1.650236,1.914622,-0.26,-13.81,0.306883,0.369259,-0.06,-16.89,44,96,-52,-54.17,0.537045,0.519271,0.02,3.42
2026-05-04,2026-05-10,"Post: ""Deep heat. Deep recovery.""",not_delivering,"7-day click or 1-day view",50,,50,,actions:omni_landing_page_view,3990,,3990,,1.26416,,1.26,,0.6456,,0.65,,"Using campaign budget","Using campaign budget",0,,0,32.28,,32.28,,2026-05-14,Average,"Above average","Below average – bottom 35% of ads",5044,,5044,,6.399683,,6.4,,63,,63,,,0.512381,,0.51,,1.249009,102,,102,,2.022205,,2.02,,0.316471,,0.32,,50,,50,,0.6456,,0.65,
2026-05-11,2026-05-17,"24/7 Access (2)",active,"7-day click or 1-day view",20,,20,,actions:link_click,529,,529,,1.126654,,1.13,,0.2205,,0.22,,20,"Using campaign budget",20,,Daily,4.41,,4.41,,Ongoing,-,-,-,596,,596,,7.399329,,7.4,,20,,20,,,0.2205,,0.22,,3.355705,45,,45,,7.550336,,7.55,,0.098,,0.1,,11,,11,,0.400909,,0.4,
2026-05-11,2026-05-17,"CB Fly (2)",active,"7-day click or 1-day view",6,436,-430,-98.62,actions:link_click,257,13255,-12998,-98.06,1.042802,1.307582,-0.26,-20.25,0.34333333,0.29986239,0.04,14.5,20,20,0,0,Daily,2.06,130.74,-128.68,-98.42,Ongoing,-,-,-,268,17332,-17064,-98.45,7.686567,7.543273,0.14,1.9,6,436,-430,-98.62,,0.343333,0.299862,0.04,14.5,2.238806,7,591,-584,-98.82,2.61194,3.409878,-0.8,-23.4,0.294286,0.221218,0.07,33.03,2,176,-174,-98.86,1.03,0.742841,0.29,38.66
2026-05-11,2026-05-17,"FB: Back in Motion Reel 4/15 - 4/22",not_delivering,"7-day click or 1-day view",,,0,,,,,0,,,,0,,,,0,,"Using campaign budget","Using campaign budget",0,,0,,,0,,2026-04-22,-,-,-,,,0,,,,0,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,
