"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting","Results (May 11, 2026-May 17, 2026)","Results (May 4, 2026-May 10, 2026)","Results Change","Results Change (%)","Result indicator","Reach (May 11, 2026-May 17, 2026)","Reach (May 4, 2026-May 10, 2026)","Reach Change","Reach Change (%)","Frequency (May 11, 2026-May 17, 2026)","Frequency (May 4, 2026-May 10, 2026)","Frequency Change","Frequency Change (%)","Cost per results (May 11, 2026-May 17, 2026)","Cost per results (May 4, 2026-May 10, 2026)","Cost per results Change","Cost per results Change (%)","Ad set budget (May 11, 2026-May 17, 2026)","Ad set budget (May 4, 2026-May 10, 2026)","Ad set budget Change","Ad set budget Change (%)","Ad set budget type","Amount spent (AUD) (May 11, 2026-May 17, 2026)","Amount spent (AUD) (May 4, 2026-May 10, 2026)","Amount spent (AUD) Change","Amount spent (AUD) Change (%)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking","Impressions (May 11, 2026-May 17, 2026)","Impressions (May 4, 2026-May 10, 2026)","Impressions Change","Impressions Change (%)","CPM (cost per 1,000 impressions) (AUD) (May 11, 2026-May 17, 2026)","CPM (cost per 1,000 impressions) (AUD) (May 4, 2026-May 10, 2026)","CPM (cost per 1,000 impressions) (AUD) Change","CPM (cost per 1,000 impressions) (AUD) Change (%)","Link clicks (May 11, 2026-May 17, 2026)","Link clicks (May 4, 2026-May 10, 2026)","Link clicks Change","Link clicks Change (%)",shop_clicks,"CPC (cost per link click) (AUD) (May 11, 2026-May 17, 2026)","CPC (cost per link click) (AUD) (May 4, 2026-May 10, 2026)","CPC (cost per link click) (AUD) Change","CPC (cost per link click) (AUD) Change (%)","CTR (link click-through rate)","Clicks (all) (May 11, 2026-May 17, 2026)","Clicks (all) (May 4, 2026-May 10, 2026)","Clicks (all) Change","Clicks (all) Change (%)","CTR (all) (May 11, 2026-May 17, 2026)","CTR (all) (May 4, 2026-May 10, 2026)","CTR (all) Change","CTR (all) Change (%)","CPC (all) (AUD) (May 11, 2026-May 17, 2026)","CPC (all) (AUD) (May 4, 2026-May 10, 2026)","CPC (all) (AUD) Change","CPC (all) (AUD) Change (%)","Landing page views (May 11, 2026-May 17, 2026)","Landing page views (May 4, 2026-May 10, 2026)","Landing page views Change","Landing page views Change (%)","Cost per landing page view (AUD) (May 11, 2026-May 17, 2026)","Cost per landing page view (AUD) (May 4, 2026-May 10, 2026)","Cost per landing page view (AUD) Change","Cost per landing page view (AUD) Change (%)"
2026-05-04,2026-05-10,"24/7 Access",active,"7-day click or 1-day view",5,382,-377,-98.69,actions:link_click,320,16833,-16513,-98.1,1.065625,1.399394,-0.33,-23.85,0.342,0.32806283,0.01,4.25,20,20,0,0,Daily,1.71,125.32,-123.61,-98.64,Ongoing,-,-,-,341,23556,-23215,-98.55,5.014663,5.320088,-0.31,-5.74,5,382,-377,-98.69,,0.342,0.328063,0.01,4.25,1.466276,10,560,-550,-98.21,2.932551,2.377314,0.56,23.36,0.171,0.223786,-0.05,-23.59,2,154,-152,-98.7,0.855,0.813766,0.04,5.07
2026-05-04,2026-05-10,"CB Fly",active,"7-day click or 1-day view",33,6,27,450,actions:link_click,1382,258,1124,435.66,1.120116,1.069767,0.05,4.71,0.33424242,0.33,0,1.29,20,20,0,0,Daily,11.03,1.98,9.05,457.07,Ongoing,"Below average – bottom 35% of ads","Above average","Above average",1548,276,1272,460.87,7.125323,7.173913,-0.05,-0.68,33,6,27,450,,0.334242,0.33,0,1.29,2.131783,53,7,46,657.14,3.423773,2.536232,0.89,34.99,0.208113,0.282857,-0.07,-26.42,10,3,7,233.33,1.103,0.66,0.44,67.12
2026-05-04,2026-05-10,"Post: ""Earn those Easter treats with a FREE Easter...""",not_delivering,"1-day click",,,0,,,,,0,,,,0,,,,0,,"Using campaign budget","Using campaign budget",0,,0,,,0,,2026-04-06,-,-,-,,,0,,,,0,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,
2026-05-04,2026-05-10,"Instagram post: Feeling tight, sore, or just need...",not_delivering,"7-day click or 1-day view",,,0,,,,,0,,,,0,,,,0,,"Using campaign budget","Using campaign budget",0,,0,,,0,,2026-04-16,-,-,-,,,0,,,,0,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,
2026-05-04,2026-05-10,"IG: Back in Motion Carousel 4/15 - 4/21",not_delivering,"7-day click or 1-day view",,,0,,,,,0,,,,0,,,,0,,"Using campaign budget","Using campaign budget",0,,0,,,0,,2026-04-21,-,-,-,,,0,,,,0,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,
2026-05-04,2026-05-10,"Instagram post: The long weekend is over. The...",not_delivering,"7-day click or 1-day view",,,0,,,,,0,,,,0,,,,0,,"Using campaign budget","Using campaign budget",0,,0,,,0,,2026-04-22,-,-,-,,,0,,,,0,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,
2026-05-04,2026-05-10,"Post: ""Deep heat. Deep recovery.""",not_delivering,"7-day click or 1-day view",,86,-86,-100,actions:link_click,,2906,-2906,-100,,1.42808,-1.43,-100,,0.4044186,-0.4,-100,"Using campaign budget","Using campaign budget",0,,0,,34.78,-34.78,-100,2026-05-01,-,-,-,,4150,-4150,-100,,8.380723,-8.38,-100,,86,-86,-100,,,0.404419,-0.4,-100,,,103,-103,-100,,2.481928,-2.48,-100,,0.33767,-0.34,-100,,56,-56,-100,,0.621071,-0.62,-100
2026-05-04,2026-05-10,"FB: Feeling tight, sore, or just need... 4/30 -5/7",not_delivering,"7-day click or 1-day view",8,200,-192,-96,profile_visit_view,420,3515,-3095,-88.05,4.12619,1.730868,2.4,138.39,2.825,0.2973,2.53,850.22,"Using campaign budget","Using campaign budget",0,,0,22.6,59.46,-36.86,-61.99,2026-05-07,-,-,-,1733,6084,-4351,-71.52,13.040969,9.773176,3.27,33.44,13,129,-116,-89.92,,1.738462,0.46093,1.28,277.16,0.750144,17,128,-111,-86.72,0.980958,2.103879,-1.12,-53.37,1.329412,0.464531,0.86,186.18,8,,8,,2.825,,2.83,
2026-05-04,2026-05-10,"Instagram post: Looking for a Mother’s Day gift...",not_delivering,"7-day click or 1-day view",89,100,-11,-11,actions:post_engagement,3383,1320,2063,156.29,1.5235,1.243182,0.28,22.55,0.48775281,0.3029,0.18,61.03,"Using campaign budget","Using campaign budget",0,,0,43.41,30.29,13.12,43.31,2026-05-14,Average,-,-,5154,1641,3513,214.08,8.422584,18.458257,-10.04,-54.37,61,24,37,154.17,,0.711639,1.262083,-0.55,-43.61,1.183547,61,49,12,24.49,1.183547,2.985984,-1.8,-60.36,0.711639,0.618163,0.09,15.12,,,0,,,,0,
2026-05-04,2026-05-10,"Instagram post: Show up, we’ll take care of the...",active,"7-day click or 1-day view",,,0,,,,,0,,,,0,,,,0,,"Using campaign budget","Using campaign budget",0,,0,,,0,,2026-05-20,-,-,-,,,0,,,,0,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,
