"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (AUD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (AUD)","Link clicks",shop_clicks,"CPC (cost per link click) (AUD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (AUD)","Landing page views","Cost per landing page view (AUD)"
2026-05-25,2026-05-31,"24/7 Access",active,"7-day click or 1-day view",16,actions:link_click,474,1.265823,0.26125,20,Daily,4.18,Ongoing,"Above average",Average,"Above average",600,6.966667,16,,0.26125,2.666667,40,6.666667,0.1045,10,0.418
2026-05-25,2026-05-31,"Pilates Reel",active,"7-day click or 1-day view",365,actions:link_click,15505,1.344341,0.33605479,20,Daily,122.66,Ongoing,Average,Average,Average,20844,5.884667,365,,0.336055,1.751103,557,2.672232,0.220215,173,0.709017
2026-05-25,2026-05-31,"CB Fly",active,"7-day click or 1-day view",31,actions:link_click,1209,1.2134,0.29903226,20,Daily,9.27,Ongoing,"Above average",Average,Average,1467,6.319018,31,,0.299032,2.113156,65,4.430811,0.142615,22,0.421364
2026-05-25,2026-05-31,"Push the tempo",active,"7-day click or 1-day view",9,actions:link_click,459,1.126362,0.46111111,20,Daily,4.15,Ongoing,Average,Average,Average,517,8.027079,9,,0.461111,1.740812,19,3.675048,0.218421,5,0.83
2026-05-25,2026-05-31,"Instagram post: Deep heat. Deep recovery.

Hot...",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-01,-,-,-,0,0,,,,,0,0,0,,
2026-05-25,2026-05-31,"Post: ""Deep heat. Deep recovery.""",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-01,-,-,-,0,0,,,,,0,0,0,,
2026-05-25,2026-05-31,"Instagram post: Feeling tight, sore, or just need...",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-07,-,-,-,0,0,,,,,0,0,0,,
2026-05-25,2026-05-31,"FB: Feeling tight, sore, or just need... 4/30 -5/7",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-07,-,-,-,0,0,,,,,0,0,0,,
2026-05-25,2026-05-31,"Instagram post: This Mother’s Day, we are...",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-10,-,-,-,0,0,,,,,0,0,0,,
2026-05-25,2026-05-31,"Instagram post: Looking for a Mother’s Day gift...",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-14,-,-,-,0,0,,,,,0,0,0,,
2026-05-25,2026-05-31,"Post: ""Looking for a Mother’s Day gift she’ll actually...""",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-14,-,-,-,0,0,,,,,0,0,0,,
2026-05-25,2026-05-31,"Instagram post: Show up, we’ll take care of the...",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-20,-,-,-,0,0,,,,,0,0,0,,
2026-05-25,2026-05-31,"Promoting website: https://www.chasingbetter247.com.au/",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-21,-,-,-,0,0,,,,,0,0,0,,
2026-05-25,2026-05-31,"Instagram post: You've been waiting for a sign....",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-17,-,-,-,0,0,,,,,0,0,0,,
2026-05-25,2026-05-31,"Instagram post: Ready to shake up your routine?...",not_delivering,"7-day click or 1-day view",97,profile_visit_view,2548,1.609498,0.37340206,"Using campaign budget",0,36.22,2026-05-28,Average,-,-,4101,8.831992,54,,0.670741,1.316752,53,1.292368,0.683396,,
2026-05-25,2026-05-31,"Post: ""Ready to shake up your routine? ⚡️""",not_delivering,"7-day click or 1-day view",39,actions:post_engagement,634,1.752366,0.57435897,"Using campaign budget",0,22.4,2026-05-28,Average,"Below average – bottom 35% of ads","Below average – bottom 35% of ads",1111,20.162016,1,,22.4,0.090009,11,0.990099,2.036364,,
2026-05-25,2026-05-31,"Instagram post: Deep heat. Deep recovery.

Hot...",active,"7-day click or 1-day view",114,actions:link_click,6631,1.256221,0.43412281,"Using campaign budget",0,49.49,2026-06-04,Average,"Above average","Above average",8330,5.941176,114,,0.434123,1.368547,117,1.404562,0.422991,71,0.697042
2026-05-25,2026-05-31,"Post: ""Deep heat. Deep recovery.""",active,"7-day click or 1-day view",46,actions:omni_landing_page_view,3951,1.285497,0.71695652,"Using campaign budget",0,32.98,2026-06-04,Average,"Above average","Below average – bottom 35% of ads",5079,6.493404,53,,0.622264,1.043513,91,1.791691,0.362418,46,0.716957
