"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (AUD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (AUD)","Link clicks",shop_clicks,"CPC (cost per link click) (AUD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (AUD)","Landing page views","Cost per landing page view (AUD)"
2026-05-18,2026-05-24,"24/7 Access",active,"7-day click or 1-day view",5,actions:link_click,233,1.133047,0.276,20,Daily,1.38,Ongoing,-,-,-,264,5.227273,5,,0.276,1.893939,11,4.166667,0.125455,4,0.345
2026-05-18,2026-05-24,"Pilates Reel",active,"7-day click or 1-day view",405,actions:link_click,17860,1.341601,0.32619753,20,Daily,132.11,Ongoing,Average,Average,Average,23961,5.513543,405,,0.326198,1.690247,588,2.453988,0.224677,149,0.886644
2026-05-18,2026-05-24,"CB Fly",active,"7-day click or 1-day view",4,actions:link_click,465,1.04086,0.635,20,Daily,2.54,Ongoing,-,-,-,484,5.247934,4,,0.635,0.826446,11,2.272727,0.230909,2,1.27
2026-05-18,2026-05-24,"Push the tempo",active,"7-day click or 1-day view",20,actions:link_click,422,1.111374,0.218,20,Daily,4.36,Ongoing,-,-,-,469,9.296375,20,,0.218,4.264392,26,5.54371,0.167692,11,0.396364
2026-05-18,2026-05-24,"FB: Back in Motion Carousel 4/15 - 4/21",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-04-22,-,-,-,0,0,,,,,0,0,0,,
2026-05-18,2026-05-24,"Instagram post: The long weekend is over. The...",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-04-22,-,-,-,0,0,,,,,0,0,0,,
2026-05-18,2026-05-24,"Instagram post: Deep heat. Deep recovery.

Hot...",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-01,-,-,-,0,0,,,,,0,0,0,,
2026-05-18,2026-05-24,"Post: ""Deep heat. Deep recovery.""",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-01,-,-,-,0,0,,,,,0,0,0,,
2026-05-18,2026-05-24,"Instagram post: Feeling tight, sore, or just need...",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-07,-,-,-,0,0,,,,,0,0,0,,
2026-05-18,2026-05-24,"FB: Feeling tight, sore, or just need... 4/30 -5/7",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-07,-,-,-,0,0,,,,,0,0,0,,
2026-05-18,2026-05-24,"Instagram post: This Mother’s Day, we are...",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-10,-,-,-,0,0,,,,,0,0,0,,
2026-05-18,2026-05-24,"Instagram post: Looking for a Mother’s Day gift...",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-14,-,-,-,0,0,,,,,0,0,0,,
2026-05-18,2026-05-24,"Post: ""Looking for a Mother’s Day gift she’ll actually...""",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-14,-,-,-,0,0,,,,,0,0,0,,
2026-05-18,2026-05-24,"Instagram post: Show up, we’ll take care of the...",not_delivering,"7-day click or 1-day view",262,actions:link_click,4665,1.128832,0.13599237,"Using campaign budget",0,35.63,2026-05-20,"Below average – bottom 35% of ads","Above average","Above average",5266,6.766046,262,,0.135992,4.975313,327,6.209647,0.10896,179,0.19905
2026-05-18,2026-05-24,"Promoting website: https://www.chasingbetter247.com.au/",not_delivering,"7-day click or 1-day view",107,actions:omni_landing_page_view,3687,1.232438,0.22233645,"Using campaign budget",0,23.79,2026-05-21,"Below average – bottom 35% of ads","Above average","Above average",4544,5.235475,123,,0.193415,2.706866,212,4.665493,0.112217,107,0.222336
2026-05-18,2026-05-24,"Instagram post: You've been waiting for a sign....",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,2026-05-17,-,-,-,0,0,,,,,0,0,0,,
2026-05-18,2026-05-24,"Instagram post: Ready to shake up your routine?...",active,"7-day click or 1-day view",163,profile_visit_view,2924,1.872777,0.29226994,"Using campaign budget",0,47.64,2026-05-28,Average,-,-,5476,8.699781,93,,0.512258,1.69832,91,1.661797,0.523516,,
2026-05-18,2026-05-24,"Post: ""Ready to shake up your routine? ⚡️""",active,"7-day click or 1-day view",67,actions:post_engagement,730,1.684932,0.50029851,"Using campaign budget",0,33.52,2026-05-28,Average,"Below average – bottom 35% of ads","Below average – bottom 35% of ads",1230,27.252033,,,,,8,0.650407,4.19,,
